Issue Number,Title,State,Created At,Updated At,URL
229,Bump get-func-name from 2.0.0 to 2.0.2,open,2023-09-27T20:57:01Z,2023-09-27T20:57:02Z,https://github.com/PAIR-code/what-if-tool/pull/229
228,Update WIT_Toxicity_Text_Model_Comparison.ipynb,open,2023-09-19T20:58:57Z,2023-09-19T20:59:44Z,https://github.com/PAIR-code/what-if-tool/pull/228
226,Cant use fairness solution for regression so In that case How to mitigate the bias for the regression model?,open,2023-01-29T15:11:08Z,2023-01-30T14:55:08Z,https://github.com/PAIR-code/what-if-tool/issues/226
225,Bump qs from 6.5.2 to 6.5.3,open,2022-12-10T12:18:17Z,2022-12-10T12:18:18Z,https://github.com/PAIR-code/what-if-tool/pull/225
224,Unable to import Witwidget,open,2022-12-07T14:19:46Z,2022-12-07T14:20:06Z,https://github.com/PAIR-code/what-if-tool/issues/224
223,Bump decode-uri-component from 0.2.0 to 0.2.2,open,2022-12-05T02:27:45Z,2022-12-05T02:27:46Z,https://github.com/PAIR-code/what-if-tool/pull/223
220,Data loading issue at scale with tensorboard what-if plugin,open,2022-11-04T19:38:49Z,2022-11-04T19:38:49Z,https://github.com/PAIR-code/what-if-tool/issues/220
219,Enabling Persistence with what-if tensorboard plugin,open,2022-11-04T19:28:27Z,2022-11-04T19:28:27Z,https://github.com/PAIR-code/what-if-tool/issues/219
217,what-if tool unable to return predictions - InactiveRpcError,open,2022-10-18T05:12:24Z,2022-10-18T05:23:58Z,https://github.com/PAIR-code/what-if-tool/issues/217
215,how to install what if in managed notebook of vertex ai?,open,2022-10-03T17:32:23Z,2022-10-06T13:58:14Z,https://github.com/PAIR-code/what-if-tool/issues/215
213,Bump jszip from 3.2.2 to 3.10.1,open,2022-09-08T11:38:04Z,2022-09-08T11:38:05Z,https://github.com/PAIR-code/what-if-tool/pull/213
209,Replacing model with predictions data,open,2022-07-20T23:35:54Z,2022-07-22T16:53:21Z,https://github.com/PAIR-code/what-if-tool/issues/209
206,Bump async from 2.6.3 to 2.6.4,open,2022-04-29T03:24:28Z,2022-04-29T03:24:29Z,https://github.com/PAIR-code/what-if-tool/pull/206
205,Multiclass classification,open,2022-04-19T12:26:03Z,2022-04-25T17:29:43Z,https://github.com/PAIR-code/what-if-tool/issues/205
204,"How do I export ""What-If-Tool"" output?",open,2022-03-31T20:31:16Z,2022-04-25T12:19:31Z,https://github.com/PAIR-code/what-if-tool/issues/204
203,Not getting the desired output with Hugging face models on NLP tasks,open,2022-03-22T06:53:41Z,2022-03-22T12:30:18Z,https://github.com/PAIR-code/what-if-tool/issues/203
201,WIT with Lime? ,open,2022-03-01T06:56:31Z,2022-03-01T13:17:36Z,https://github.com/PAIR-code/what-if-tool/issues/201
200,No datapoints are loaded,open,2022-02-23T14:55:32Z,2022-12-22T08:39:26Z,https://github.com/PAIR-code/what-if-tool/issues/200
199,Bump follow-redirects from 1.13.0 to 1.14.8,open,2022-02-13T02:37:15Z,2022-02-13T02:37:16Z,https://github.com/PAIR-code/what-if-tool/pull/199
198,Bump pathval from 1.1.0 to 1.1.1,open,2022-02-11T01:20:34Z,2022-02-11T01:20:35Z,https://github.com/PAIR-code/what-if-tool/pull/198
197,"Can What-if-tool handle multimodal structural data which has continuous, categorical, text and image columns?",open,2022-02-01T04:55:42Z,2022-02-01T15:34:48Z,https://github.com/PAIR-code/what-if-tool/issues/197
196,"WIT works on my jupyter notebook, but it doesn't on vscode.",open,2022-01-28T07:01:52Z,2022-02-07T00:51:08Z,https://github.com/PAIR-code/what-if-tool/issues/196
195,"How to generator my tfRecord file, I have generator my own TFRecord file, it's work ok on my local, but not work ok on what if tool",open,2022-01-20T02:34:08Z,2022-01-20T12:59:30Z,https://github.com/PAIR-code/what-if-tool/issues/195
193,Bump markdown-it from 11.0.0 to 12.3.2 in /website,open,2022-01-12T23:07:13Z,2022-01-12T23:07:14Z,https://github.com/PAIR-code/what-if-tool/pull/193
192,URL Parameters,open,2022-01-12T07:42:23Z,2022-01-13T14:53:50Z,https://github.com/PAIR-code/what-if-tool/issues/192
189,WIT and Object Detection,open,2021-11-08T17:27:17Z,2021-11-08T19:30:03Z,https://github.com/PAIR-code/what-if-tool/issues/189
188,witwidget doesn't display in jupyter notebook,open,2021-11-08T13:05:55Z,2021-11-10T14:23:00Z,https://github.com/PAIR-code/what-if-tool/issues/188
185, module 'pyparsing' has no attribute 'downcaseTokens',open,2021-10-26T20:53:14Z,2022-07-24T02:35:16Z,https://github.com/PAIR-code/what-if-tool/issues/185
Issue Number,Title,State,Created At,Updated At,URL
347,Fix the dependencies of fairness indicators.,open,2023-10-09T17:35:51Z,2023-10-26T18:04:17Z,https://github.com/tensorflow/fairness-indicators/pull/347
345,Plantilla de gato ,open,2023-08-27T12:40:09Z,2023-08-27T12:48:03Z,https://github.com/tensorflow/fairness-indicators/issues/345
342,Allow Python 3.10 for FI&TB,open,2023-05-25T20:28:36Z,2023-11-16T17:03:09Z,https://github.com/tensorflow/fairness-indicators/pull/342
338,Pass an `interpreter` argument to make the `Interpreter`.,open,2023-04-07T05:55:40Z,2023-04-07T06:34:27Z,https://github.com/tensorflow/fairness-indicators/pull/338
335, Support for bias/unfairness mitigation for multiclass classification problems,open,2023-02-14T06:11:39Z,2023-02-14T07:01:53Z,https://github.com/tensorflow/fairness-indicators/issues/335
334,Internal Only,open,2023-02-08T19:23:32Z,2023-02-08T19:39:57Z,https://github.com/tensorflow/fairness-indicators/pull/334
322,Set Negative Margin in text input error,open,2022-10-11T16:03:48Z,2022-10-11T16:03:48Z,https://github.com/tensorflow/fairness-indicators/issues/322
316,WIT not rendering fairness indicators in Vertex Workbench (works in Colab),open,2022-09-30T15:56:06Z,2022-10-02T08:11:23Z,https://github.com/tensorflow/fairness-indicators/issues/316
314,Upgrades TF dependency to 2.10.,open,2022-08-08T22:08:09Z,2022-08-09T19:35:19Z,https://github.com/tensorflow/fairness-indicators/pull/314
308,Fixing broken link in Wiki_case_study.ipynb,open,2022-06-17T17:04:01Z,2022-06-17T17:04:05Z,https://github.com/tensorflow/fairness-indicators/pull/308
302,N/A,open,2022-05-24T21:02:42Z,2022-05-25T07:37:45Z,https://github.com/tensorflow/fairness-indicators/pull/302
299,Change how the slice is stringified so it is easier to read.,open,2022-05-05T19:18:45Z,2022-05-18T02:52:36Z,https://github.com/tensorflow/fairness-indicators/pull/299
286,Need help with evaluating model!,open,2022-03-23T21:24:03Z,2022-03-23T21:24:03Z,https://github.com/tensorflow/fairness-indicators/issues/286
260,Performance of CelebA constrained model,open,2021-06-14T09:53:53Z,2021-06-14T09:53:53Z,https://github.com/tensorflow/fairness-indicators/issues/260
208,Adding FlipRate metrics for Counterfactual Fairness Evaluation,open,2021-01-05T19:37:58Z,2021-02-10T10:49:48Z,https://github.com/tensorflow/fairness-indicators/pull/208
206,Adding FlipCount metrics for Counterfactual Fairness Evaluation,open,2020-12-29T13:19:11Z,2021-02-10T10:35:17Z,https://github.com/tensorflow/fairness-indicators/pull/206
195,"[*.py] Rename ""Arguments:"" to ""Args:""",open,2020-12-05T10:44:37Z,2020-12-05T10:44:37Z,https://github.com/tensorflow/fairness-indicators/pull/195
104,internal change,open,2020-07-08T03:11:01Z,2020-07-13T16:55:13Z,https://github.com/tensorflow/fairness-indicators/pull/104
103,internal change,open,2020-07-08T02:36:22Z,2020-07-08T02:36:27Z,https://github.com/tensorflow/fairness-indicators/pull/103
84,Removing unused RatioValue rendering code.,open,2020-05-18T23:54:49Z,2020-05-19T16:56:51Z,https://github.com/tensorflow/fairness-indicators/pull/84
69,update paths,open,2020-05-02T08:03:51Z,2020-05-02T08:03:51Z,https://github.com/tensorflow/fairness-indicators/pull/69
59,Test jupyter,open,2020-04-16T04:51:35Z,2020-04-16T05:09:52Z,https://github.com/tensorflow/fairness-indicators/pull/59
57,Jupyter Continuous Integration,open,2020-04-15T20:42:55Z,2020-04-16T04:26:49Z,https://github.com/tensorflow/fairness-indicators/pull/57
9,Internal change,open,2020-01-07T22:54:08Z,2020-01-07T22:54:08Z,https://github.com/tensorflow/fairness-indicators/pull/9
Issue Number,Title,State,Created At,Updated At,URL
135,Bump @babel/traverse from 7.20.12 to 7.23.2 in /src/aequitas/fairflow/plots/pareto/js,open,2023-10-18T17:33:07Z,2023-10-18T17:33:08Z,https://github.com/dssg/aequitas/pull/135
134,Bump postcss from 8.4.21 to 8.4.31 in /src/aequitas/fairflow/plots/pareto/js,open,2023-10-06T03:40:24Z,2023-10-06T03:40:26Z,https://github.com/dssg/aequitas/pull/134
133,Update compas_demo.html,open,2023-09-06T18:39:41Z,2023-09-06T18:39:41Z,https://github.com/dssg/aequitas/pull/133
132,Bump tough-cookie from 4.1.2 to 4.1.3 in /src/aequitas/fairflow/plots/pareto/js,open,2023-08-20T23:38:17Z,2023-08-20T23:38:18Z,https://github.com/dssg/aequitas/pull/132
131,Bump node-forge and webpack-dev-server in /src/aequitas/fairflow/plots/pareto/js,open,2023-08-20T23:38:08Z,2023-08-20T23:38:09Z,https://github.com/dssg/aequitas/pull/131
130,"Bump d3-color, @visx/axis, @visx/grid, @visx/scale and @visx/shape in /src/aequitas/fairflow/plots/pareto/js",open,2023-08-20T23:38:01Z,2023-08-20T23:38:03Z,https://github.com/dssg/aequitas/pull/130
129,Bump word-wrap from 1.2.3 to 1.2.5 in /src/aequitas/fairflow/plots/pareto/js,open,2023-08-20T23:37:53Z,2023-08-20T23:37:55Z,https://github.com/dssg/aequitas/pull/129
128,Bump webpack from 5.75.0 to 5.76.0 in /src/aequitas/fairflow/plots/pareto/js,open,2023-08-20T23:37:19Z,2023-08-20T23:37:20Z,https://github.com/dssg/aequitas/pull/128
123,Deal with multiclass problems,open,2023-02-09T12:44:56Z,2023-02-09T12:44:56Z,https://github.com/dssg/aequitas/issues/123
122,Error when running get_disparity_major_group with check_significance=True,open,2023-01-11T14:54:04Z,2023-01-11T14:54:04Z,https://github.com/dssg/aequitas/issues/122
121,Adds list cast to inferred attribute columns,open,2022-12-15T10:05:40Z,2022-12-15T10:05:40Z,https://github.com/dssg/aequitas/pull/121
117,threshold within aequitas (using top k or score threshold),open,2022-08-12T15:02:12Z,2022-08-12T15:02:12Z,https://github.com/dssg/aequitas/issues/117
116,deal with multiclass problems,open,2022-08-12T15:01:24Z,2023-02-06T07:11:38Z,https://github.com/dssg/aequitas/issues/116
115,running aequitas without label_value,open,2022-05-17T12:49:24Z,2022-05-17T12:49:24Z,https://github.com/dssg/aequitas/issues/115
114,issue regarding uploading the data set and run it on compas notebook,open,2021-10-13T19:57:39Z,2021-10-13T19:57:39Z,https://github.com/dssg/aequitas/issues/114
113,how to use web api on different data set ,open,2021-10-13T19:36:41Z,2021-10-13T19:36:41Z,https://github.com/dssg/aequitas/issues/113
112,Issue regarding running my data set on compass file as a reference ,open,2021-10-13T10:37:54Z,2021-11-12T10:35:01Z,https://github.com/dssg/aequitas/issues/112
111,Change the way to launch the web-app (or update the doc),open,2021-09-14T16:22:12Z,2021-10-13T15:19:59Z,https://github.com/dssg/aequitas/issues/111
110,Bump markdown2 from 2.3.5 to 2.4.0 in /requirement,open,2021-06-02T21:47:23Z,2023-08-20T23:36:21Z,https://github.com/dssg/aequitas/pull/110
109,Separated setups,open,2021-05-28T11:15:25Z,2023-03-24T13:55:06Z,https://github.com/dssg/aequitas/pull/109
108,Different setups,open,2021-05-28T11:01:43Z,2021-05-28T11:01:43Z,https://github.com/dssg/aequitas/issues/108
107,xhtml2pdf broken in python 3.8 - AttributeError: module 'cgi' has no attribute 'escape',open,2021-03-11T13:32:46Z,2021-03-11T13:32:46Z,https://github.com/dssg/aequitas/issues/107
